bed_id,bed_code,ward_id,room_number,bed_number,bed_type,daily_charge,bed_status,oxygen_supported,ventilator_supported
1,BED0001,1,R001,B1,Semi Private,2500.0,Occupied,True,False
2,BED0002,2,R001,B2,ICU,800.0,Occupied,True,False
3,BED0003,3,R001,B3,Semi Private,1200.0,Occupied,True,False
4,BED0004,4,R001,B4,Private,1500.0,Available,False,False
5,BED0005,5,R002,B1,Semi Private,1500.0,Available,False,False
6,BED0006,6,R002,B2,Private,1500.0,Available,True,False
7,BED0007,7,R002,B3,ICU,800.0,Occupied,False,True
8,BED0008,8,R002,B4,General,1200.0,Available,False,False
9,BED0009,9,R003,B1,General,1200.0,Available,True,False
10,BED0010,10,R003,B2,Private,1200.0,Occupied,True,True
11,BED0011,11,R003,B3,Ventilator,2500.0,Occupied,False,False
12,BED0012,12,R003,B4,Semi Private,2500.0,Maintenance,False,False
13,BED0013,13,R004,B1,ICU,2500.0,Available,True,False
14,BED0014,14,R004,B2,Private,1500.0,Occupied,False,False
15,BED0015,15,R004,B3,General,800.0,Available,False,False
16,BED0016,16,R004,B4,Ventilator,1500.0,Available,True,False
17,BED0017,17,R005,B1,Semi Private,2500.0,Available,False,False
18,BED0018,18,R005,B2,General,1500.0,Occupied,True,False
19,BED0019,19,R005,B3,General,800.0,Occupied,True,True
20,BED0020,20,R005,B4,Private,800.0,Available,True,False
21,BED0021,21,R006,B1,Ventilator,1200.0,Reserved,True,False
22,BED0022,22,R006,B2,ICU,2500.0,Occupied,False,False
23,BED0023,23,R006,B3,General,2500.0,Maintenance,True,False
24,BED0024,24,R006,B4,General,1500.0,Available,True,True
25,BED0025,25,R007,B1,Private,1500.0,Available,True,False
26,BED0026,26,R007,B2,Semi Private,2500.0,Available,True,False
27,BED0027,27,R007,B3,ICU,800.0,Available,False,False
28,BED0028,28,R007,B4,General,800.0,Available,False,False
29,BED0029,29,R008,B1,ICU,1500.0,Occupied,False,True
30,BED0030,30,R008,B2,ICU,1500.0,Occupied,True,False
31,BED0031,31,R008,B3,Private,2500.0,Available,True,False
32,BED0032,32,R008,B4,Semi Private,2500.0,Reserved,True,False
33,BED0033,33,R009,B1,Private,1500.0,Available,True,False
34,BED0034,34,R009,B2,Ventilator,2500.0,Available,True,False
35,BED0035,35,R009,B3,ICU,1500.0,Occupied,False,False
