date_key,full_date,day_number,month_number,month_name,quarter_number,year_number,week_number,day_name,is_weekend
20240101,2024-01-01,1,1,January,1,2024,1,Monday,False
20240102,2024-01-02,2,1,January,1,2024,1,Tuesday,False
20240103,2024-01-03,3,1,January,1,2024,1,Wednesday,False
20240104,2024-01-04,4,1,January,1,2024,1,Thursday,False
20240105,2024-01-05,5,1,January,1,2024,1,Friday,False
20240106,2024-01-06,6,1,January,1,2024,1,Saturday,True
20240107,2024-01-07,7,1,January,1,2024,1,Sunday,True
20240108,2024-01-08,8,1,January,1,2024,2,Monday,False
20240109,2024-01-09,9,1,January,1,2024,2,Tuesday,False
20240110,2024-01-10,10,1,January,1,2024,2,Wednesday,False
20240111,2024-01-11,11,1,January,1,2024,2,Thursday,False
20240112,2024-01-12,12,1,January,1,2024,2,Friday,False
20240113,2024-01-13,13,1,January,1,2024,2,Saturday,True
20240114,2024-01-14,14,1,January,1,2024,2,Sunday,True
20240115,2024-01-15,15,1,January,1,2024,3,Monday,False
20240116,2024-01-16,16,1,January,1,2024,3,Tuesday,False
20240117,2024-01-17,17,1,January,1,2024,3,Wednesday,False
20240118,2024-01-18,18,1,January,1,2024,3,Thursday,False
20240119,2024-01-19,19,1,January,1,2024,3,Friday,False
20240120,2024-01-20,20,1,January,1,2024,3,Saturday,True
20240121,2024-01-21,21,1,January,1,2024,3,Sunday,True
20240122,2024-01-22,22,1,January,1,2024,4,Monday,False
20240123,2024-01-23,23,1,January,1,2024,4,Tuesday,False
20240124,2024-01-24,24,1,January,1,2024,4,Wednesday,False
20240125,2024-01-25,25,1,January,1,2024,4,Thursday,False
20240126,2024-01-26,26,1,January,1,2024,4,Friday,False
20240127,2024-01-27,27,1,January,1,2024,4,Saturday,True
20240128,2024-01-28,28,1,January,1,2024,4,Sunday,True
20240129,2024-01-29,29,1,January,1,2024,5,Monday,False
20240130,2024-01-30,30,1,January,1,2024,5,Tuesday,False
20240131,2024-01-31,31,1,January,1,2024,5,Wednesday,False
20240201,2024-02-01,1,2,February,1,2024,5,Thursday,False
20240202,2024-02-02,2,2,February,1,2024,5,Friday,False
20240203,2024-02-03,3,2,February,1,2024,5,Saturday,True
20240204,2024-02-04,4,2,February,1,2024,5,Sunday,True
20240205,2024-02-05,5,2,February,1,2024,6,Monday,False
20240206,2024-02-06,6,2,February,1,2024,6,Tuesday,False
20240207,2024-02-07,7,2,February,1,2024,6,Wednesday,False
20240208,2024-02-08,8,2,February,1,2024,6,Thursday,False
20240209,2024-02-09,9,2,February,1,2024,6,Friday,False
20240210,2024-02-10,10,2,February,1,2024,6,Saturday,True
20240211,2024-02-11,11,2,February,1,2024,6,Sunday,True
20240212,2024-02-12,12,2,February,1,2024,7,Monday,False
20240213,2024-02-13,13,2,February,1,2024,7,Tuesday,False
20240214,2024-02-14,14,2,February,1,2024,7,Wednesday,False
20240215,2024-02-15,15,2,February,1,2024,7,Thursday,False
20240216,2024-02-16,16,2,February,1,2024,7,Friday,False
20240217,2024-02-17,17,2,February,1,2024,7,Saturday,True
20240218,2024-02-18,18,2,February,1,2024,7,Sunday,True
20240219,2024-02-19,19,2,February,1,2024,8,Monday,False
20240220,2024-02-20,20,2,February,1,2024,8,Tuesday,False
20240221,2024-02-21,21,2,February,1,2024,8,Wednesday,False
20240222,2024-02-22,22,2,February,1,2024,8,Thursday,False
20240223,2024-02-23,23,2,February,1,2024,8,Friday,False
20240224,2024-02-24,24,2,February,1,2024,8,Saturday,True
20240225,2024-02-25,25,2,February,1,2024,8,Sunday,True
20240226,2024-02-26,26,2,February,1,2024,9,Monday,False
20240227,2024-02-27,27,2,February,1,2024,9,Tuesday,False
20240228,2024-02-28,28,2,February,1,2024,9,Wednesday,False
20240229,2024-02-29,29,2,February,1,2024,9,Thursday,False
20240301,2024-03-01,1,3,March,1,2024,9,Friday,False
20240302,2024-03-02,2,3,March,1,2024,9,Saturday,True
20240303,2024-03-03,3,3,March,1,2024,9,Sunday,True
20240304,2024-03-04,4,3,March,1,2024,10,Monday,False
20240305,2024-03-05,5,3,March,1,2024,10,Tuesday,False
20240306,2024-03-06,6,3,March,1,2024,10,Wednesday,False
20240307,2024-03-07,7,3,March,1,2024,10,Thursday,False
20240308,2024-03-08,8,3,March,1,2024,10,Friday,False
20240309,2024-03-09,9,3,March,1,2024,10,Saturday,True
20240310,2024-03-10,10,3,March,1,2024,10,Sunday,True
