diagnosis_id,diagnosis_code,diagnosis_name,diagnosis_category,description,severity,active_flag
1,DIA0001,Diagnosis 1,Digestive,Clinical diagnosis 1,Medium,True
2,DIA0002,Diagnosis 2,Respiratory,Clinical diagnosis 2,High,True
3,DIA0003,Diagnosis 3,Infectious,Clinical diagnosis 3,Medium,True
4,DIA0004,Diagnosis 4,Infectious,Clinical diagnosis 4,High,True
5,DIA0005,Diagnosis 5,Cardiac,Clinical diagnosis 5,Medium,True
6,DIA0006,Diagnosis 6,Cardiac,Clinical diagnosis 6,Medium,True
7,DIA0007,Diagnosis 7,Cardiac,Clinical diagnosis 7,High,True
8,DIA0008,Diagnosis 8,Digestive,Clinical diagnosis 8,Low,True
9,DIA0009,Diagnosis 9,Cardiac,Clinical diagnosis 9,Medium,True
10,DIA0010,Diagnosis 10,Cardiac,Clinical diagnosis 10,Medium,True
11,DIA0011,Diagnosis 11,Cardiac,Clinical diagnosis 11,High,True
12,DIA0012,Diagnosis 12,Orthopedic,Clinical diagnosis 12,Medium,True
13,DIA0013,Diagnosis 13,Digestive,Clinical diagnosis 13,Low,True
14,DIA0014,Diagnosis 14,Digestive,Clinical diagnosis 14,Low,True
15,DIA0015,Diagnosis 15,Respiratory,Clinical diagnosis 15,Medium,True
16,DIA0016,Diagnosis 16,Infectious,Clinical diagnosis 16,Medium,True
17,DIA0017,Diagnosis 17,Respiratory,Clinical diagnosis 17,High,True
18,DIA0018,Diagnosis 18,Respiratory,Clinical diagnosis 18,Low,True
19,DIA0019,Diagnosis 19,Digestive,Clinical diagnosis 19,Low,True
20,DIA0020,Diagnosis 20,Digestive,Clinical diagnosis 20,Low,True
21,DIA0021,Diagnosis 21,Neurological,Clinical diagnosis 21,Low,True
22,DIA0022,Diagnosis 22,Neurological,Clinical diagnosis 22,Critical,True
23,DIA0023,Diagnosis 23,Orthopedic,Clinical diagnosis 23,Medium,True
24,DIA0024,Diagnosis 24,Neurological,Clinical diagnosis 24,Low,True
25,DIA0025,Diagnosis 25,Respiratory,Clinical diagnosis 25,Low,True
26,DIA0026,Diagnosis 26,Neurological,Clinical diagnosis 26,Medium,True
27,DIA0027,Diagnosis 27,Respiratory,Clinical diagnosis 27,Medium,True
28,DIA0028,Diagnosis 28,Infectious,Clinical diagnosis 28,High,True
29,DIA0029,Diagnosis 29,Infectious,Clinical diagnosis 29,Critical,True
30,DIA0030,Diagnosis 30,Infectious,Clinical diagnosis 30,High,True
31,DIA0031,Diagnosis 31,Orthopedic,Clinical diagnosis 31,Medium,True
32,DIA0032,Diagnosis 32,Infectious,Clinical diagnosis 32,Medium,True
33,DIA0033,Diagnosis 33,Cardiac,Clinical diagnosis 33,Low,True
34,DIA0034,Diagnosis 34,Orthopedic,Clinical diagnosis 34,Medium,True
35,DIA0035,Diagnosis 35,Orthopedic,Clinical diagnosis 35,Low,True
36,DIA0036,Diagnosis 36,Neurological,Clinical diagnosis 36,Medium,True
37,DIA0037,Diagnosis 37,Digestive,Clinical diagnosis 37,Medium,True
38,DIA0038,Diagnosis 38,Digestive,Clinical diagnosis 38,Medium,True
39,DIA0039,Diagnosis 39,Respiratory,Clinical diagnosis 39,Low,True
40,DIA0040,Diagnosis 40,Orthopedic,Clinical diagnosis 40,Low,True
41,DIA0041,Diagnosis 41,Respiratory,Clinical diagnosis 41,High,True
42,DIA0042,Diagnosis 42,Cardiac,Clinical diagnosis 42,High,True
43,DIA0043,Diagnosis 43,Respiratory,Clinical diagnosis 43,Medium,True
44,DIA0044,Diagnosis 44,Orthopedic,Clinical diagnosis 44,Critical,True
45,DIA0045,Diagnosis 45,Digestive,Clinical diagnosis 45,Low,True
46,DIA0046,Diagnosis 46,Respiratory,Clinical diagnosis 46,Medium,True
47,DIA0047,Diagnosis 47,Orthopedic,Clinical diagnosis 47,Critical,True
48,DIA0048,Diagnosis 48,Orthopedic,Clinical diagnosis 48,High,True
49,DIA0049,Diagnosis 49,Respiratory,Clinical diagnosis 49,High,True
50,DIA0050,Diagnosis 50,Infectious,Clinical diagnosis 50,High,True
51,DIA0051,Diagnosis 51,Orthopedic,Clinical diagnosis 51,Medium,True
52,DIA0052,Diagnosis 52,Digestive,Clinical diagnosis 52,Medium,True
53,DIA0053,Diagnosis 53,Cardiac,Clinical diagnosis 53,Low,True
54,DIA0054,Diagnosis 54,Infectious,Clinical diagnosis 54,Medium,True
55,DIA0055,Diagnosis 55,Neurological,Clinical diagnosis 55,Medium,True
56,DIA0056,Diagnosis 56,Neurological,Clinical diagnosis 56,Medium,True
57,DIA0057,Diagnosis 57,Infectious,Clinical diagnosis 57,Medium,True
58,DIA0058,Diagnosis 58,Neurological,Clinical diagnosis 58,Medium,True
59,DIA0059,Diagnosis 59,Neurological,Clinical diagnosis 59,Medium,True
60,DIA0060,Diagnosis 60,Cardiac,Clinical diagnosis 60,Low,True
61,DIA0061,Diagnosis 61,Respiratory,Clinical diagnosis 61,High,True
62,DIA0062,Diagnosis 62,Digestive,Clinical diagnosis 62,Low,True
63,DIA0063,Diagnosis 63,Cardiac,Clinical diagnosis 63,Low,True
64,DIA0064,Diagnosis 64,Cardiac,Clinical diagnosis 64,High,True
65,DIA0065,Diagnosis 65,Infectious,Clinical diagnosis 65,Medium,True
66,DIA0066,Diagnosis 66,Respiratory,Clinical diagnosis 66,Medium,True
67,DIA0067,Diagnosis 67,Cardiac,Clinical diagnosis 67,Medium,True
68,DIA0068,Diagnosis 68,Digestive,Clinical diagnosis 68,Medium,True
69,DIA0069,Diagnosis 69,Infectious,Clinical diagnosis 69,High,True
70,DIA0070,Diagnosis 70,Orthopedic,Clinical diagnosis 70,Medium,True
71,DIA0071,Diagnosis 71,Cardiac,Clinical diagnosis 71,Low,True
72,DIA0072,Diagnosis 72,Neurological,Clinical diagnosis 72,Medium,True
73,DIA0073,Diagnosis 73,Infectious,Clinical diagnosis 73,Medium,True
74,DIA0074,Diagnosis 74,Neurological,Clinical diagnosis 74,Medium,True
75,DIA0075,Diagnosis 75,Neurological,Clinical diagnosis 75,Medium,True
76,DIA0076,Diagnosis 76,Infectious,Clinical diagnosis 76,Medium,True
77,DIA0077,Diagnosis 77,Orthopedic,Clinical diagnosis 77,Medium,True
78,DIA0078,Diagnosis 78,Digestive,Clinical diagnosis 78,Medium,True
79,DIA0079,Diagnosis 79,Cardiac,Clinical diagnosis 79,Medium,True
80,DIA0080,Diagnosis 80,Neurological,Clinical diagnosis 80,Low,True
81,DIA0081,Diagnosis 81,Neurological,Clinical diagnosis 81,Medium,True
82,DIA0082,Diagnosis 82,Respiratory,Clinical diagnosis 82,High,True
83,DIA0083,Diagnosis 83,Orthopedic,Clinical diagnosis 83,Low,True
84,DIA0084,Diagnosis 84,Cardiac,Clinical diagnosis 84,Medium,True
85,DIA0085,Diagnosis 85,Respiratory,Clinical diagnosis 85,Low,True
86,DIA0086,Diagnosis 86,Infectious,Clinical diagnosis 86,High,True
87,DIA0087,Diagnosis 87,Orthopedic,Clinical diagnosis 87,Low,True
88,DIA0088,Diagnosis 88,Respiratory,Clinical diagnosis 88,High,True
89,DIA0089,Diagnosis 89,Respiratory,Clinical diagnosis 89,Medium,True
90,DIA0090,Diagnosis 90,Digestive,Clinical diagnosis 90,Low,True
