medicine_id,medicine_code,medicine_name,medicine_category,manufacturer,unit_price,stock_quantity,reorder_level,medicine_status
1,MED0001,Medicine 1,Gastro,Manufacturer 2,1368.0,462,18,Active
2,MED0002,Medicine 2,Diabetes,Manufacturer 3,1103.0,441,10,Active
3,MED0003,Medicine 3,Vitamin,Manufacturer 4,1141.0,242,38,Active
4,MED0004,Medicine 4,Analgesic,Manufacturer 5,547.0,107,22,Active
5,MED0005,Medicine 5,Analgesic,Manufacturer 6,887.0,222,17,Active
6,MED0006,Medicine 6,Cardiac,Manufacturer 7,867.0,398,44,Active
7,MED0007,Medicine 7,Analgesic,Manufacturer 8,678.0,359,14,Active
8,MED0008,Medicine 8,Gastro,Manufacturer 9,845.0,77,34,Active
9,MED0009,Medicine 9,Antibiotic,Manufacturer 10,798.0,161,6,Active
10,MED0010,Medicine 10,Gastro,Manufacturer 11,1010.0,143,6,Active
11,MED0011,Medicine 11,Vitamin,Manufacturer 12,637.0,428,23,Active
12,MED0012,Medicine 12,Gastro,Manufacturer 13,1272.0,344,43,Active
13,MED0013,Medicine 13,Antibiotic,Manufacturer 14,1167.0,361,41,Active
14,MED0014,Medicine 14,Diabetes,Manufacturer 15,343.0,307,37,Active
15,MED0015,Medicine 15,Vitamin,Manufacturer 16,1128.0,422,40,Active
16,MED0016,Medicine 16,Antibiotic,Manufacturer 17,1196.0,355,12,Active
17,MED0017,Medicine 17,Analgesic,Manufacturer 18,400.0,297,40,Active
18,MED0018,Medicine 18,Vitamin,Manufacturer 19,238.0,490,10,Active
19,MED0019,Medicine 19,Diabetes,Manufacturer 20,1465.0,213,48,Active
20,MED0020,Medicine 20,Diabetes,Manufacturer 21,518.0,439,5,Active
21,MED0021,Medicine 21,Gastro,Manufacturer 22,609.0,360,6,Active
22,MED0022,Medicine 22,Vitamin,Manufacturer 23,232.0,306,15,Active
23,MED0023,Medicine 23,Vitamin,Manufacturer 24,1262.0,419,21,Active
24,MED0024,Medicine 24,Analgesic,Manufacturer 25,32.0,109,33,Active
